,Property.GFA...Self.Reported..ft_2.,Primary.Property.Type...Self.Selected,Weather.Normalized.Site.Energy.Use..kBtu.,Weather.Normalized.Site.Electricity..kWh.,Year.Built
258,67248,Multifamily Housing,6536514.6,345908.3,1987
259,979730,Office,96890796.3,15204976.4,1962
260,61310,Multifamily Housing,5490355.1,252003.1,1923
261,138390,Multifamily Housing,12275694.5,261631.6,1983
262,50400,Multifamily Housing,5087847,426405.5,1973
263,103331,Multifamily Housing,7547343.2,147720,1984
264,94504,Multifamily Housing,5733146.5,186015,1986
265,303890,Multifamily Housing,21863118.4,290800,1981
266,165739,Multifamily Housing,13603074.9,349791.2,1979
267,181278,Multifamily Housing,16681253.1,571264.2,1979
268,90188,Multifamily Housing,5217075.1,194633.6,1981
269,59323,Multifamily Housing,5504269.2,153299.5,1986
270,120343,Multifamily Housing,7345773,241389.5,1982
271,60880,Multifamily Housing,3216185.5,563083.5,1920
272,55505,Multifamily Housing,4780575.1,181272.8,1937
273,115900,Multifamily Housing,12552441.9,487868,1957
274,50094,Multifamily Housing,1073286.9,241216.3,1912
275,187274,Hospital (General Medical & Surgical),36624484.3,4686528.3,1958
276,52200,Multifamily Housing,4267766.2,165878.3,1929
277,53361,Other,5773403.7,1661505.4,1900
278,3636683,Office,401108181.8,74506183.1,1972
279,235000,Multifamily Housing,17799712.4,1230164.5,1971
280,1098694,Data Center,91869940.6,22467914.9,1974
281,73179,College/University,7023324.2,1277625.1,1927
282,60000,Multifamily Housing,3863728,160566.2,1925
283,56000,Multifamily Housing,4151149.6,175429.6,1924
284,58430,Multifamily Housing,5904422.4,311231.6,1915
285,84006,Multifamily Housing,6226821.7,362116.7,1910
286,180000,Multifamily Housing,9905466.2,452319.2,1957
287,81735,Multifamily Housing,7813212.2,313859.2,1966
288,262019,Multifamily Housing,24752404.5,1135019.7,1960
289,146706,Multifamily Housing,7417874.6,331358.2,1957
290,82222,Multifamily Housing,5513608.4,313721.5,1935
291,125315,Multifamily Housing,8439675.7,357463.3,1926
292,88946,Multifamily Housing,8385133.2,309446.7,1936
293,92816,Multifamily Housing,8427947,345562,1938
294,124831,Multifamily Housing,15038738.9,414723.4,1950
295,230195,Multifamily Housing,16265415.6,754059.8,1951
296,105005,Multifamily Housing,7646945.7,373422,1957
297,152405,Multifamily Housing,12518878.7,592152.4,1958
298,61030,Multifamily Housing,5586389.9,232983.1,1950
299,70455,Multifamily Housing,5400842.5,278852.1,1953
300,57601,Multifamily Housing,5994649.6,286860.9,1940
301,105280,Multifamily Housing,13058199,629295,1969
302,76794,Multifamily Housing,3975924,612657.4,2007
303,325062,Multifamily Housing,36862120.5,4622511.4,2005
304,64660,Multifamily Housing,5961397.4,704589,1985
305,130495,Multifamily Housing,3366147,561931.3,1962
306,312078,Multifamily Housing,24262316.9,2086786.8,1972
307,57085,Multifamily Housing,4667276.5,285847,1924
308,53656,Multifamily Housing,4384363.3,436429.9,1992
309,53000,Non-Refrigerated Warehouse,2424976.7,710719.9,1952
310,64358,Office,2353140.3,96520,1931
311,188889,Multifamily Housing,14226101.7,1891520.2,1912
312,103768,Multifamily Housing,5739748.4,615527.9,1900
313,179985,Multifamily Housing,15031164.1,1133704.2,1927
314,58000,Multifamily Housing,4935427.6,340684.7,1913
315,187665,Multifamily Housing,17092261,807629.5,1958
316,1232576,Multifamily Housing,112377044.5,8077255.4,1956
317,65020,Multifamily Housing,7078414.8,687001.7,2006
318,353010,Multifamily Housing,40621082.2,3214185.2,1984
319,80956,Multifamily Housing,8264972.6,931620.8,1963
320,126000,Multifamily Housing,9769768,506837.1,1954
321,135000,Multifamily Housing,6781063.4,490281.7,1942
322,112833,Multifamily Housing,7599620.9,402924.2,1931
323,100320,Multifamily Housing,5172815,549706.7,1962
324,56952,Multifamily Housing,1250723.6,228952.5,1912
325,57772,Multifamily Housing,5457951.2,220361.1,1925
326,62740,Multifamily Housing,10371654.6,307553.1,1962
327,66167,Multifamily Housing,6118368.9,577702.7,1988
328,323725,Multifamily Housing,28912230,2052159.2,1961
329,92408,Multifamily Housing,7722649.9,1290732.5,1931
330,76176,Multifamily Housing,8214447.4,1049434.7,1915
331,93925,Multifamily Housing,8492047.3,442717.5,1929
332,70995,Multifamily Housing,5167126.5,300903.2,1940
333,70695,Multifamily Housing,6128918.1,338102.2,1940
334,52500,Multifamily Housing,5507520.9,605275.7,1915
